City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,8.09,99,100,9.72,TF,1706010106
1,wajir,1.7471,40.0573,36.98,23,0,3.6,KE,1706010111
2,jamestown,42.097,-79.2353,0.77,91,100,2.06,US,1706010112
3,camana,-16.6228,-72.7111,24.68,82,100,2.12,PE,1706010112
4,sisimiut,66.9395,-53.6735,-12.57,93,100,4.46,GL,1706010113
5,arraial do cabo,-22.9661,-42.0278,26.92,74,75,4.12,BR,1706010113
6,geraldton,-28.7667,114.6,22.23,73,5,11.32,AU,1706010114
7,illizi,26.4833,8.4667,15.89,34,4,5.58,DZ,1706010115
8,ust-nera,64.5667,143.2,-43.3,99,65,2.63,RU,1706010115
9,badger,64.8,-147.5333,-37.07,71,0,0.0,US,1706010116
10,klyuchi,52.2667,79.1667,-14.73,90,62,2.7,RU,1706009949
11,albany,42.6001,-73.9662,1.72,76,99,1.34,US,1706009985
12,zhangjiakou shi xuanhua qu,40.6103,115.0447,-11.78,68,0,3.94,CN,1706010117
13,adamstown,-25.066,-130.1015,24.13,77,88,4.73,PN,1706010118
14,east london,-33.0153,27.9116,21.74,58,100,4.37,ZA,1706010119
15,ohara,35.25,140.3833,9.92,56,28,5.81,JP,1706010119
16,hofors,60.5457,16.2867,5.55,78,94,5.12,SE,1706010120
17,ribeira grande,38.5167,-28.7,18.22,88,75,9.83,PT,1706010120
18,crane,31.3974,-102.3501,10.81,77,100,4.45,US,1706010121
19,grytviken,-54.2811,-36.5092,3.13,73,74,3.94,GS,1706010121
20,ushuaia,-54.8,-68.3,17.81,42,0,7.72,AR,1706010122
21,vorgashor,67.5833,63.95,-13.9,92,97,5.91,RU,1706010123
22,wailua homesteads,22.0669,-159.378,24.24,86,75,5.66,US,1706010123
23,gazipasa,36.2694,32.3179,18.05,52,20,3.6,TR,1706010124
24,port blair,11.6667,92.75,28.02,65,20,3.6,IN,1706010124
25,bredasdorp,-34.5322,20.0403,24.2,52,57,10.6,ZA,1706010125
26,shingu,33.7333,135.9833,0.56,65,52,6.87,JP,1706010126
27,avarua,-21.2078,-159.775,24.03,78,75,2.06,CK,1706010126
28,lospalos,-8.5186,127.0025,24.81,86,97,3.71,TL,1706010127
29,selfoss,63.9331,-20.9971,-4.22,89,100,4.15,IS,1706010127
30,waitangi,-43.9535,-176.5597,17.68,98,100,2.24,NZ,1706010128
31,cooma,-36.2333,149.1333,14.75,97,29,2.2,AU,1706010130
32,ust'-ilimsk,58.0006,102.6619,-14.2,93,62,2.24,RU,1706010130
33,tiksi,71.6872,128.8694,-22.02,98,100,2.99,RU,1706010131
34,fisterra,42.9049,-9.2629,15.97,94,100,5.54,ES,1706010131
35,hilvan,37.5869,38.9551,9.53,100,75,5.14,TR,1706010132
36,aasiaat,68.7098,-52.8699,-10.26,67,100,6.53,GL,1706010133
37,port elizabeth,-33.918,25.5701,23.94,56,75,7.2,ZA,1706010134
38,acarau,-2.8856,-40.12,28.87,73,37,5.26,BR,1706010134
39,estevan,49.1334,-102.9842,-7.81,85,100,8.23,CA,1706010135
40,margaret river,-33.95,115.0667,19.27,68,0,6.62,AU,1706010135
41,eureka,40.8021,-124.1637,12.18,97,70,0.45,US,1706010136
42,georgetown,5.4112,100.3354,25.97,94,40,2.06,MY,1706009843
43,tangalle,6.024,80.7911,31.09,77,68,5.91,LK,1706010137
44,timimoun,29.2639,0.231,13.21,41,0,13.38,DZ,1706010138
45,invercargill,-46.4,168.35,7.79,86,60,4.02,NZ,1706010138
46,constantia,44.1833,28.65,4.38,65,32,3.91,RO,1706010139
47,puerto natales,-51.7236,-72.4875,14.25,58,75,2.06,CL,1706010140
48,hamilton,39.1834,-84.5333,4.35,78,100,3.09,US,1706009623
49,saint john's,47.5649,-52.7093,-1.03,91,100,8.75,CA,1706010126
50,maxixe,-23.8597,35.3472,30.9,62,40,5.14,MZ,1706010142
51,zambezi,-13.5432,23.1047,25.84,69,85,1.77,ZM,1706010142
